b,chi,seed,trueError,COR(1.000),COR(1.500),COR(1.667),COR(1.750),COR(1.800),COR(1.833),COR(1.857),COR(1.875),COR(1.889),COR(1.900),COR(1.909),COR(1.917),COR(1.923),COR(1.929),COR(1.933),COR(1.938),COR(1.941),COR(1.944),COR(1.947),COR(1.950)
8,4,281,35.034195817183246,160,75,49,73,83,96,119,147,159,157,160,160,160,160,36,160,160,31,160,160,
8,4,851,23.665235659686314,160,120,61,70,82,100,132,133,147,160,160,160,160,160,160,160,160,160,160,160,
8,4,509,40.97130516855421,160,70,45,76,82,101,114,152,160,160,160,160,17,18,19,21,23,23,25,27,
8,4,885,49.82215912012506,160,65,68,64,85,106,14,131,20,160,160,37,31,160,160,160,160,160,160,160,
8,4,376,27.832509717662028,153,56,113,70,139,96,112,128,145,160,160,160,160,160,160,160,160,160,160,160,
8,4,984,16.776212443090003,160,47,66,63,97,104,136,160,155,159,160,160,160,160,160,160,160,160,160,160,
8,4,586,28.130959416078596,156,51,49,79,82,94,119,124,148,158,160,160,17,18,19,20,21,21,22,25,
8,4,941,21.995655839218752,160,64,56,62,97,94,121,137,140,159,160,160,160,160,160,160,160,160,160,160,
8,4,514,17.91751677039192,160,160,124,64,100,99,148,132,144,160,160,160,160,160,160,160,160,160,160,160,
8,4,176,18.930867289371502,160,98,64,62,105,109,119,135,15,16,16,17,19,20,21,21,23,25,26,26,
8,5,438,13.461561025472466,160,112,10,9,9,10,11,12,13,15,15,16,17,18,20,22,25,160,160,160,
8,5,698,11.348501510437714,160,160,119,129,83,100,160,148,148,160,160,160,52,160,160,160,160,160,160,31,
8,5,350,8.817572809425924,160,88,45,160,133,126,132,130,160,160,160,160,160,160,160,160,160,160,160,160,
8,5,19,8.32107703711612,160,93,13,9,11,12,14,16,17,19,21,160,160,160,160,160,160,160,37,40,
8,5,411,4.713258066395207,151,34,94,137,152,91,150,150,160,160,160,160,160,160,160,160,160,160,160,160,
8,5,62,1.5323203839954413,160,160,160,160,160,160,138,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,5,769,6.294232447252183,160,33,27,25,20,11,11,12,13,14,16,16,18,22,21,22,25,28,27,26,
8,5,931,3.2304671040705575,155,54,159,138,134,112,113,159,160,159,160,160,160,160,160,160,160,160,160,160,
8,5,597,5.91012880376027,160,154,62,90,98,97,137,153,160,160,160,160,160,21,18,19,19,20,21,22,
8,5,45,12.305582099228808,160,110,138,76,110,113,160,141,141,160,160,29,26,26,160,160,30,30,35,160,
8,6,552,0.3191986779404796,160,160,95,160,155,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,6,323,0.5367668346140106,160,49,160,147,160,106,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,6,47,0.5290417164935765,160,160,160,160,160,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,6,803,0.5852792550665136,160,120,160,160,160,156,160,156,160,160,160,160,160,160,160,160,160,160,160,160,
8,6,613,1.5505352648617436,160,160,160,160,160,160,121,160,160,160,160,160,160,160,160,24,24,25,26,28,
8,6,288,0.9114943015835089,160,160,124,129,160,160,19,20,21,22,23,25,28,30,33,34,34,36,39,40,
8,6,648,1.1381834519842275,160,107,76,68,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,6,361,0.4243292047777665,160,143,61,82,94,128,140,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,6,106,0.40802671423998416,160,160,160,160,160,102,153,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,6,866,0.6364855402307862,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,670,0.0025664135396302377,160,160,160,160,153,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,474,0.0047809140540530206,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,293,0.011077199485390914,160,160,160,160,160,114,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,113,0.06522743061748405,160,160,160,62,114,108,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,857,0.00749256161513606,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,734,0.009378645856541204,160,160,124,114,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,542,0.02116738531084896,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,319,0.04922164488096928,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,171,0.0011042538108827697,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
8,7,939,0.028955506309361972,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
10,1,787,2252.7213899646636,131,32,45,59,74,91,103,126,137,156,165,184,195,200,200,200,200,200,200,200,
10,1,381,2027.4752077922517,54,31,48,65,76,93,109,125,137,154,169,186,200,200,200,200,200,200,200,200,
10,1,944,2448.281952533117,75,27,48,60,75,94,109,122,137,152,171,182,196,200,200,200,200,200,200,200,
10,1,500,2514.7847463892745,54,26,43,61,77,92,107,127,139,159,173,185,200,200,200,200,200,200,200,200,
10,1,62,2212.513605228159,200,75,41,59,78,23,14,13,13,13,14,15,16,16,17,20,20,21,21,22,
10,1,238,2143.3794332004404,60,27,44,65,78,93,108,126,135,156,173,185,200,200,200,200,200,200,200,200,
10,1,797,1817.1629037432385,55,28,44,62,75,96,109,122,141,157,172,187,200,200,200,200,200,200,200,200,
10,1,345,2598.097472255655,115,39,48,62,80,93,109,121,137,154,167,182,200,200,200,200,200,200,200,200,
10,1,922,1854.0396707886046,57,29,43,63,75,93,107,127,140,156,175,185,198,200,200,200,200,200,200,200,
10,1,477,2139.7985222010466,127,31,44,63,77,91,105,124,138,156,167,179,198,200,200,200,200,200,200,200,
10,2,62,1070.8099743015941,185,63,53,8,7,7,7,7,8,9,10,11,12,12,12,13,13,15,16,16,
10,2,189,1225.0810577497393,96,34,48,66,85,98,112,130,147,161,178,198,200,200,200,200,200,200,200,200,
10,2,800,1206.083726590139,95,28,46,60,79,94,110,129,142,158,176,193,200,200,200,200,200,200,200,200,
10,2,395,935.6631572147651,77,33,53,8,8,9,10,12,13,14,15,16,17,18,20,21,22,24,26,27,
10,2,507,1130.439588266031,121,35,47,65,80,95,113,128,141,156,178,187,200,200,200,200,16,14,14,16,
10,2,984,1084.0481614261307,200,116,14,12,11,10,11,12,13,13,14,15,15,15,16,18,18,18,18,22,
10,2,147,904.9131198200255,119,34,48,63,76,93,112,124,140,171,176,192,200,200,200,200,200,200,200,200,
10,2,757,968.8846354485847,200,75,45,60,80,98,111,136,144,158,175,187,200,200,200,200,200,200,200,200,
10,2,409,1198.6223394096246,200,101,45,61,76,93,122,10,11,11,13,14,15,17,19,19,20,21,23,24,
10,2,628,958.9086936481904,179,50,60,65,80,92,113,129,143,158,181,189,200,200,200,200,200,200,200,200,
10,3,267,484.90374915412076,200,134,9,8,8,8,9,10,11,12,14,15,16,17,18,19,20,22,21,22,
10,3,426,448.1742911709008,199,64,46,65,79,94,134,151,146,162,175,200,200,200,200,200,200,200,200,200,
10,3,104,518.1107714391314,196,57,51,67,9,8,7,8,8,8,8,8,9,10,10,12,12,14,14,15,
10,3,270,326.46689406481954,115,30,50,66,78,93,115,129,147,160,175,189,200,200,200,200,200,200,200,200,
10,3,911,342.3997776099002,98,36,46,66,79,98,118,128,147,164,179,193,200,200,200,200,200,200,200,200,
10,3,560,475.51827711238013,200,6,4,5,5,6,7,8,9,10,11,11,11,12,13,13,17,15,17,19,
10,3,692,386.021227705515,95,30,48,66,86,99,113,129,149,163,176,194,200,200,200,200,200,200,200,200,
10,3,344,543.8352949515858,123,37,45,65,78,97,14,12,13,14,18,27,26,22,23,23,23,26,24,28,
10,3,535,504.966400287627,200,8,7,8,10,11,13,16,19,167,22,21,22,24,27,200,200,31,34,36,
10,3,825,396.93401830117216,200,102,55,97,84,105,117,146,151,181,194,193,200,200,200,200,200,200,200,200,
10,4,570,176.1487154456561,188,9,7,7,7,7,8,8,9,10,11,13,14,15,17,17,18,19,21,22,
10,4,709,165.75626388988786,200,84,63,65,80,94,117,126,154,161,181,195,200,200,200,200,200,200,200,200,
10,4,432,204.5482982523111,163,75,46,61,82,103,127,135,167,162,180,188,200,200,200,200,200,200,200,200,
10,4,144,200.28736324233506,200,125,60,61,77,103,112,128,147,158,174,200,200,200,200,23,19,20,21,22,
10,4,696,228.42375414555093,200,160,85,99,113,137,131,142,148,162,178,193,200,200,200,200,200,23,24,24,
10,4,398,198.56452958562255,200,87,49,67,100,104,113,32,33,166,68,50,45,200,200,53,200,49,32,33,
10,4,877,216.69385295686135,200,84,59,73,107,101,116,135,150,175,177,193,200,200,200,200,200,200,200,200,
10,4,643,190.56304113338035,200,77,53,81,82,97,124,132,148,168,178,189,200,200,200,200,200,200,200,200,
10,4,382,198.98947390526772,191,76,36,59,21,17,17,27,22,22,21,23,25,29,30,31,36,33,56,62,
10,4,609,164.37097475654338,133,37,49,63,80,100,110,131,160,191,200,187,200,200,200,200,200,200,200,200,
10,6,306,14.91803921729157,200,160,67,75,87,200,137,141,160,200,181,200,200,200,200,200,200,200,200,200,
10,6,207,18.246933719850553,200,200,110,125,121,103,147,157,193,167,200,198,200,200,200,200,200,200,200,200,
10,6,125,15.148851406123699,200,89,71,147,109,121,154,137,157,184,200,200,200,200,200,200,200,200,200,200,
10,6,989,27.493907690567386,200,200,99,60,118,170,154,198,159,200,173,199,200,200,200,200,200,51,52,55,
10,6,797,16.081992578990302,200,150,66,64,80,116,126,126,171,198,19,21,23,24,26,28,29,34,35,200,
10,6,271,20.937865487772676,200,200,200,152,108,102,172,150,190,156,200,200,200,200,200,200,200,200,200,200,
10,6,360,20.845688720788637,200,164,71,71,113,162,152,139,173,171,200,200,200,200,200,200,200,200,200,200,
10,6,270,17.567367714140133,200,200,200,123,98,96,128,134,155,160,200,195,200,200,200,200,200,200,200,200,
10,6,300,21.529657924103994,200,101,115,88,97,115,142,126,200,152,200,196,200,200,200,200,200,200,200,200,
10,6,161,14.293626690714099,200,200,200,106,122,119,200,153,190,200,196,200,200,200,200,200,200,200,200,200,
10,7,226,3.4523283413471675,200,149,200,200,200,200,197,189,200,200,200,200,200,200,200,200,200,200,200,58,
10,7,289,3.5749940623588143,200,200,200,17,14,13,14,16,17,19,21,23,24,26,27,28,30,30,33,35,
10,7,639,5.027592808484359,200,200,200,200,200,200,200,154,197,200,200,200,200,200,200,200,200,200,200,200,
10,7,812,4.601166290098061,200,200,200,153,197,135,118,181,154,179,200,200,200,200,200,200,200,200,200,200,
10,7,847,3.1705394442159704,200,200,200,92,200,200,147,200,200,200,200,200,200,200,200,200,200,200,200,200,
10,7,944,6.005374159068531,200,200,200,159,164,160,170,179,163,178,187,200,200,200,200,200,200,200,200,200,
10,7,999,3.9450256087322084,200,200,95,200,86,149,152,200,200,200,200,200,200,200,200,200,200,200,200,200,
10,7,33,6.521217324664871,200,145,12,11,11,12,14,15,16,17,19,22,25,24,26,27,200,31,30,32,
10,7,323,3.049422070049589,200,200,104,74,134,200,134,200,157,159,200,200,200,200,200,200,200,200,200,200,
10,7,301,4.6624363291018955,200,36,22,17,16,17,19,21,23,24,26,28,30,31,33,35,37,200,200,200,
10,8,726,0.8230560237039368,200,43,17,13,12,13,14,16,18,20,21,24,26,35,200,200,200,200,200,200,
